x,v-velocity
0.0,0.0
0.052631578947368418,0.10695919176152303
0.10526315789473684,0.15789140735015014
0.15789473684210525,0.18559412415793028
0.21052631578947367,0.19911267559420509
0.26315789473684209,0.20437479946389447
0.31578947368421051,0.19193641123250546
0.36842105263157893,0.17073443600315175
0.42105263157894735,0.13235100375802769
0.47368421052631576,0.09344126877253682
0.52631578947368418,0.043442676913192826
0.57894736842105254,0.00086865363017637901
0.63157894736842102,-0.052269637752464064
0.68421052631578949,-0.097528537484456904
0.73684210526315785,-0.15968120305496847
0.78947368421052633,-0.21559963607492338
0.84210526315789469,-0.28430605356401034
0.89473684210526316,-0.30811205603880398
0.94736842105263153,-0.25939972617728674
1.0,0.0
