nIter,residual
1,1.0
2,0.93423470592736146
3,0.8754824485860252
4,0.82278922614679684
5,0.77535782693664912
6,0.73251733876682446
7,0.69369953609320312
8,0.6584203864972733
9,0.62626541678693126
10,0.59687802343688146
11,0.56995005363351636
12,0.54521415501587656
13,0.52243751604517474
14,0.50141670927435855
15,0.48197341642918584
16,0.46395086388306434
17,0.44721083449083132
18,0.43163115013817094
19,0.41710354111138026
20,0.40353183518650154
21,0.39083041240581379
22,0.37892288175439603
23,0.36774094403659968
24,0.35722341167905647
25,0.34731536132701663
26,0.33796739923724611
27,0.32913502281897716
28,0.32077806439996159
29,0.31286020552521765
30,0.30534855193073146
31,0.29821326085083516
32,0.2914272135769973
33,0.2849657272356767
34,0.27880630063186201
35,0.27292838974363953
36,0.26731320907615858
37,0.26194355561056681
38,0.25680365253099491
39,0.25187901029361009
40,0.24715630292696103
41,0.2426232577310814
42,0.23826855678153669
43,0.23408174884980304
44,0.23005317052814034
45,0.2261738754997214
46,0.22243557102675671
47,0.21883056084365202
48,0.21535169374146132
49,0.21199231721612014
50,0.2087462356279908
51,0.20560767238571026
52,0.20257123572443139
53,0.19963188769851042
54,0.19678491605239781
55,0.19402590867181732
56,0.19135073035094871
57,0.18875550164087476
58,0.18623657957056566
59,0.18379054005456413
60,0.18141416182174366
61,0.17910441171733341
62,0.17685843124617592
63,0.17467352423912455
64,0.1725471455368503
65,0.17047689059628038
66,0.16846048593463414
67,0.16649578033464946
68,0.16458073674231183
69,0.16271342479523582
70,0.16089201392596791
71,0.1591147669899311
72,0.15738003437261394
73,0.15568624853495777
74,0.154031918959805
75,0.15241562746577075
76,0.15083602385803738
77,0.14929182188839224
78,0.14778179549936352
79,0.14630477532958752
80,0.14485964545960009
81,0.14344534037908901
82,0.14206084215832604
83,0.14070517780799535
84,0.13937741681301069
85,0.13807666882714081
86,0.13680208151638917
87,0.13555283854007735
88,0.13432815765951464
89,0.13312728896496748
90,0.13194951321239326
91,0.13079414026211186
92,0.12966050761220069
93,0.12854797901998613
94,0.12745594320551606
95,0.12638381263138812
96,0.12533102235372925
97,0.12429702893953704
98,0.12328130944594826
99,0.12228336045733489
100,0.12130269717643936
101,0.12033885256603764
102,0.11939137653787564
103,0.11845983518586484
104,0.11754381006074163
105,0.11664289748358461
106,0.11575670789578445
107,0.11488486524321843
108,0.11402700639254221
109,0.11318278057765639
110,0.11235184887453771
111,0.11153388370274932
112,0.11072856835205409
113,0.1099355965326666
114,0.1091546719477705
115,0.10838550788702188
116,0.10762782683984227
117,0.10688136012738104
118,0.10614584755209941
119,0.10542103706399719
120,0.10470668444256018
121,0.10400255299357067
122,0.10330841325997024
123,0.10262404274601822
124,0.10194922565403657
125,0.10128375263306869
126,0.10062742053882841
127,0.09998003220434587
128,0.099341396220759132
129,0.098711326727723273
130,0.098089643212951771
131,0.097476170320422204
132,0.096870737666811299
133,0.0962731796657499
134,0.095683335359506197
135,0.095101048257734758
136,0.094526166182943072
137,0.093958541122351705
138,0.093398029085838996
139,0.092844489969677313
140,0.092297787425788702
141,0.09175778873625863
142,0.091224364692858648
143,0.090697389481349755
144,0.090176740570340849
145,0.08966229860449744
146,0.089153947301898684
